alpha,mse,rmse,mae,r2,mse_std
0.3,0.011786345392495718,0.10856493629388689,0.07776655748255014,0.7321791023779907,0.00485735661779937
0.2,0.011797132223471639,0.10861460409848962,0.07769645109038203,0.7319339934270594,0.004934110857312014
0.1,0.011855239044458099,0.10888176635441812,0.07778886375073776,0.7306136332614339,0.005010000486504235
0.5,0.01190673170057552,0.10911797148304911,0.07852157142664047,0.7294435666357697,0.004701675585220208
0.0,0.011960665855455107,0.10936482915204095,0.07811001929345712,0.7282180218811138,0.00508494543389255
0.75,0.01232338952948458,0.1110107631245033,0.08051474923030824,0.7199758588753379,0.004504380347201197
1.0,0.013035797295959549,0.11417441611832113,0.0835209500778685,0.7037878310230661,0.004306674233230233
