Tool,n,mse,rmse,mae,max_error,mean_y,std_y
O,86,0.0278088401907204,0.16675982786846597,0.08511028627586749,1.2676725107930995,2.9104048844017716,0.234102466180742
J,142,0.01178019875203236,0.10853662401250723,0.08173519800063724,0.41873126919216297,2.949783267861515,0.19565349026143447
L,178,0.010380942095847065,0.10188690836337642,0.07743246560306118,0.35511552929822887,2.8014289389269056,0.1725439824331681
M,128,0.009546838047439351,0.097707922132442,0.07971710645290754,0.28475569435056025,2.7898901206955533,0.21902766065780402
N,266,0.008627537111552671,0.09288453645011463,0.07255862686807507,0.2890380416833467,2.787342432890113,0.19778913280740207
