experiment,alpha,mse,rmse,mae,r2
global_baseline,0.0,0.011960665855455107,0.10936482915204095,0.07811001929345712,0.7282180218811138
best_residual_corrected,0.3,0.011786345392495718,0.10856493629388689,0.07776655748255014,0.7321791023779907
