strategy,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,r2_mean,r2_std,feature_mean,elapsed_sec
operation_tool_mean,0.013538996125504016,0.004392097707393304,0.11531252767927443,0.017393141095004432,0.08325588350749286,0.6918326271783005,0.0819264508734544,2689.8,67.65249629999926
tool_mean,0.013538996125504016,0.004392097707393304,0.11531252767927443,0.017393141095004432,0.08325588350749286,0.6918326271783005,0.0819264508734544,2689.8,66.33236230000057
sentinel,0.013660911850851314,0.004291865945148859,0.11589350271009262,0.016941365073285558,0.08397121304159195,0.6891621286248099,0.07886240472782458,2690.4,70.92600740000125
native,0.013674974929384182,0.004099200664136345,0.11603434785306044,0.01624057602500417,0.08343066002808293,0.6883730845252812,0.07605206032420896,2689.6,106.35921199999939
mean,0.013704651294803435,0.004391941689936164,0.11603588369951505,0.017332231134365394,0.08372430365177266,0.6879326066478859,0.08215286329391239,2689.8,67.34462280000025
median_indicator,0.013894346835793426,0.004339716310173492,0.11688618510131388,0.017028159334423622,0.08496467146956739,0.683816614641906,0.07975753220793225,3583.2,101.5264722999982
median,0.013896631554753397,0.00428604023327148,0.11692114456547512,0.01681061823122016,0.08366556367738583,0.6835036301016804,0.07944295703465766,2689.6,71.10461750000013
operation_tool_median,0.013930188753687187,0.003951159066991564,0.11719861079119402,0.015599454409586233,0.08469140495538148,0.6824060328682526,0.07266727711320486,2689.6,67.6300766000004
