Tool,n,mse,rmse,mae,max_error,mean_y,std_y
O,86,0.027667473675107742,0.16633542519592073,0.08516297645782507,1.2644506681465009,2.9104048844017716,0.234102466180742
J,142,0.012085773311294805,0.10993531421383577,0.08311034066867544,0.4237398340815939,2.949783267861515,0.19565349026143447
L,178,0.01047649290911754,0.10235474053075186,0.07795381338853107,0.3594614741945694,2.8014289389269056,0.1725439824331681
M,128,0.009903876511248761,0.09951822200606661,0.0788925984984992,0.2846078211873371,2.7898901206955533,0.21902766065780402
N,266,0.008854763665155094,0.09409975379965185,0.07487015890581691,0.30835007660320457,2.787342432890113,0.19778913280740207
