experiment,alpha,mse,rmse,mae,r2,mse_std,tool_o_mse,tool_o_rmse,tool_o_mae,tool_o_n
E0_global_only,0.0,0.011979327015571433,0.10945011199433025,0.07876897251279823,0.7277939847019383,0.005058008325877945,0.027667473675107745,0.16633542519592073,0.08516297645782508,86
E1_tool_o_expert_25,0.25,0.01205826610987381,0.10981013664445469,0.07894860398217265,0.7260002531940367,0.005190230135137363,0.028401790831408924,0.16852830869444138,0.08683396687061025,86
E2_tool_o_expert_50,0.5,0.012267755364394213,0.11075989962253582,0.07959738820996694,0.7212400329290221,0.005286917912773368,0.0303505280827615,0.17421402952334666,0.09286916898962697,86
E3_tool_o_expert_75,0.75,0.012607792303759533,0.11228442591811,0.0805569198707202,0.7135133801547495,0.005346637862510345,0.03351366240243891,0.18306737121190905,0.10179504490361065,86
E4_tool_o_expert_100,1.0,0.013078378175615355,0.11436073703686661,0.0816636255872606,0.7028202665209928,0.005370674977261516,0.03789120539644654,0.19465663460680332,0.11208998180166095,86
