fold,stage,seconds
1,inner,6.457532500004163
1,inner,6.890107899991563
1,outer,7.178087199994479
1,outer,7.3611143000016455
1,outer,7.293519099999685
2,inner,7.050982500004466
2,inner,7.2846181000059005
2,outer,7.391941199995927
2,outer,7.399963200005004
2,outer,7.540842500005965
3,inner,7.450888499995926
3,inner,7.653558999998495
3,outer,8.554881500007468
3,outer,7.874729700008174
3,outer,7.5549319999990985
