experiment,use_anomaly,use_tool,use_operation,mse,rmse,mae,r2,mse_mean_fold,mse_std_fold,features_mean
E6_tool_operation,False,True,True,0.01213813963542895,0.11017322558330109,0.07958987851281225,0.7241852886229125,0.01213813963542895,0.005205706194835903,688.8
E4_anomaly_tool,True,True,False,0.012164167097334365,0.11029128296168453,0.07911534895773131,0.7235938671111377,0.012164167097334365,0.005413951664018567,606.0
E7_all,True,True,True,0.012182535552586044,0.11037452401974852,0.07922768189056267,0.7231764810589211,0.012182535552586044,0.005223662035593903,694.8
E2_tool,False,True,False,0.012359663791854145,0.11117402480729995,0.08029460814352112,0.7191515995154706,0.012359663791854145,0.005664545546467857,600.0
E1_anomaly,True,False,False,0.012772022225696957,0.1130133718888918,0.08047034071951231,0.7097815868256929,0.012772022225696959,0.00475733612450824,306.0
E0_baseline,False,False,False,0.012793515366795618,0.11310842305856632,0.08078548993445589,0.7092931985976145,0.012793515366795617,0.004648693439432939,300.0
E3_operation,False,False,True,0.012802017330847706,0.11314600006561304,0.08083005788958574,0.7091000086334524,0.01280201733084771,0.004281226136867278,388.8
E5_anomaly_operation,True,False,True,0.012809125228696726,0.11317740599915128,0.08060956219785019,0.7089384960085685,0.012809125228696724,0.004251253306048768,394.8
