row_index,absolute_error
630,0.08834812820607452
631,0.03922352100139115
695,0.044581180603685766
696,0.07161651706949845
697,0.14606724429961293
583,0.04684742159712352
501,0.04372740638473749
485,0.06865999265730771
487,0.008468265035826317
489,0.3395737825429488
491,0.013959418430249837
465,0.012811765181802492
464,0.11244305869004068
466,0.03991185075973247
560,0.14605728942365648
561,0.06462287377424403
562,0.07294661418771176
564,0.12708736913232066
502,0.10097619241893208
503,0.014535546368450003
690,0.15002217108247562
504,0.0365268598373274
497,0.07590577398598342
496,0.02375372397162101
689,0.04162636812748799
688,0.23864715726763297
691,0.06728892270696507
687,0.20878222255608048
612,0.17217341480000803
611,0.004669314693944937
613,0.029303600147063236
614,0.012134392967590557
488,0.006353015402037254
486,0.06471964880049619
490,0.3369631785746465
492,0.014058203194857732
699,0.13068618815851574
711,0.09902523159883225
712,0.018087058125707767
710,0.13338384559132654
655,0.03851738457504483
656,0.013090359001004082
657,0.18526944872797557
654,0.0822665459919607
684,0.2077456547294143
683,0.026297248345476643
685,0.036482386561768276
686,0.08518409171341856
675,0.13756943597433313
676,0.15660298936742922
674,0.12691450477080934
673,0.03097247774480172
693,0.05199913761769981
692,0.009804408239044715
694,0.15032657284666895
584,0.3191386826222735
585,0.3879937222337797
586,0.04724588865453949
663,0.02664918563863372
664,0.013063764532941669
666,0.08085154426287433
665,0.021758283845133786
662,0.05958884624344529
661,0.01964141833485833
701,0.07156402837595
714,0.26882838249459073
713,0.18538944750447284
715,0.33924300635336513
716,0.0962095454176306
733,0.10791997091003669
717,0.10789546820909068
718,0.21287957454998496
706,0.1723491573683562
705,0.028440730855305407
698,0.08316881617497973
700,0.08787939880433981
730,0.016855376759743024
731,0.38557631803285153
732,0.09001026217208619
669,0.2450912914675767
