strategy,half_life_fraction,validation_rows,mse,rmse,mae,r2,bias,worst_fold_mse
uniform_xgb,,300,0.02506734657276008,0.1583267083367809,0.11713638787904784,0.3864854323572622,-0.014084989604253811,0.03905079949875455
recency_half_0.35,0.35,300,0.026002668428761762,0.1612534292000073,0.11933142406579823,0.3635937560314063,-0.008889529284734769,0.040714620609118096
recency_half_0.5,0.5,300,0.026328266263231898,0.16225987262176653,0.12026129550197583,0.35562486255237213,-0.015131980157791816,0.04121543493712895
recency_half_0.2,0.2,300,0.026900238829530382,0.1640129227516246,0.12061160219807893,0.34162603341034203,-0.0095732478071245,0.04202539623207491
