feature,operation,mean_importance,std_importance,selected_folds
raw__750X1364,750,0.00013019516,0.00018412375,1
raw__360X34,360,0.00012966593,,1
raw__420X89,420,0.0001275483,3.436739e-05,2
raw__311X91,311,0.00012396583,3.7721824e-05,3
raw__210X62,210,0.00012136456,,1
raw__311X190,311,0.000119427685,0.00014622432,4
raw__210X32,210,0.000118934346,0.00014979363,2
proc__300__missing_rate,300,0.000118145894,0.00026418225,1
raw__311X223,311,0.00011519997,0.00014774493,3
proc__520__median_z,520,0.00011518926,0.00025757102,1
raw__210X23,210,0.000115062736,,1
raw__311X1,311,0.00011205549,0.0002505637,1
raw__420X36,420,0.00011177601,0.0001619984,2
raw__420X115,420,0.0001115465,0.00019907148,2
raw__344X186,344,0.00010911864,2.2037819e-05,3
raw__311X191,311,0.0001084802,0.000103247396,3
raw__340X124,340,0.00010794383,,1
raw__520X22,520,0.00010060172,0.00017424728,1
raw__210X65,210,0.000100306235,0.00011963172,2
raw__311X83,311,9.762693e-05,0.00021830045,1
raw__330X1177,330,9.4165385e-05,,1
raw__420X198,420,9.254497e-05,0.000109815155,2
raw__420X114,420,9.188039e-05,0.00011115602,2
time__300__valid_rate,300,9.063062e-05,6.4169966e-05,4
proc__420__outlier_rate,420,9.037667e-05,9.6878975e-05,4
raw__311X208,311,8.706434e-05,,1
raw__520X96,520,8.705717e-05,8.686058e-05,2
raw__210X13,210,8.6651075e-05,,1
raw__750X1146,750,8.5392676e-05,,1
raw__210X49,210,8.474352e-05,6.7627254e-05,3
raw__420X134,420,8.448699e-05,0.0001326013,2
proc__520__outlier_rate,520,8.3293366e-05,8.011811e-05,4
raw__330X119,330,7.969359e-05,,1
cat__Chamber_2.0,META,7.531489e-05,0.00013278265,2
raw__750X1305,750,7.513189e-05,,1
raw__210X183,210,7.377562e-05,,1
cat__Chamber_3.0,META,6.789458e-05,8.047315e-05,3
raw__ERROR:#N/A_18,META,6.686754e-05,,1
raw__420X138,420,6.40513e-05,,1
raw__311X130,311,6.165991e-05,0.00013787576,1
raw__210X129,210,6.0694354e-05,,1
time__311__median_day,311,5.9931313e-05,0.0001340105,1
cat__Chamber_5.0,META,5.9160713e-05,8.447755e-05,2
raw__520X106,520,5.8245685e-05,5.1974504e-05,2
proc__400__missing_rate,400,5.7612466e-05,9.4672134e-05,2
time__360__end_day,360,5.6247045e-05,0.00012577222,1
raw__311X119,311,5.337111e-05,8.4918465e-05,2
raw__750X1356,750,4.901339e-05,6.93154e-05,1
raw__210X76,210,4.8827544e-05,4.548086e-05,3
missing__311X169,311,4.6528523e-05,8.0589765e-05,1
raw__311X81,311,4.619938e-05,0.000103304956,1
cat__TOOL (#1)_V,META,4.0178376e-05,8.984158e-05,1
raw__210X28,210,3.9081016e-05,,1
raw__330X100,330,3.7121798e-05,5.2498148e-05,1
raw__520X129,520,3.634828e-05,6.295707e-05,1
raw__330X694,330,3.595448e-05,,1
proc__220__outlier_rate,220,3.5742894e-05,3.7846363e-05,3
raw__311X142,311,2.6973079e-05,5.3946158e-05,1
raw__311X104,311,2.3586723e-05,5.2741518e-05,1
raw__311X134,311,2.3146324e-05,5.1756753e-05,1
raw__311X106,311,2.186284e-05,4.8886795e-05,1
raw__344X15,344,2.1272137e-05,3.6844423e-05,1
raw__311X107,311,2.1196523e-05,4.739687e-05,1
raw__750X1391,750,2.0777601e-05,3.248232e-05,2
proc__344__median_z,344,1.9991003e-05,4.4701243e-05,1
cat__Tool (#5)_11,META,1.8323179e-05,4.0971874e-05,1
cat__TOOL (#2)_B,META,1.6812057e-05,3.75929e-05,1
raw__750X995,750,1.6456526e-05,3.6797912e-05,1
raw__520X107,520,1.4268843e-05,,1
cat__Tool (#2)_V,META,1.0475966e-05,2.3424973e-05,1
raw__420X71,420,7.815544e-06,1.747609e-05,1
time__311__end_day,311,7.3311994e-06,1.639306e-05,1
raw__344X83,344,6.753535e-06,1.5101364e-05,1
raw__520X84,520,2.6467058e-06,4.584229e-06,1
missing__311X112,311,0.0,0.0,0
raw__400X63,400,0.0,,0
missing__311X130,311,0.0,0.0,0
raw__360X984,360,0.0,0.0,0
raw__420X86,420,0.0,,0
missing__311X131,311,0.0,0.0,0
missing__311X133,311,0.0,0.0,0
missing__311X134,311,0.0,0.0,0
missing__311X135,311,0.0,0.0,0
missing__311X128,311,0.0,0.0,0
missing__311X136,311,0.0,0.0,0
missing__311X137,311,0.0,0.0,0
missing__311X139,311,0.0,,0
missing__311X140,311,0.0,,0
missing__311X141,311,0.0,0.0,0
raw__344X92,344,0.0,0.0,0
missing__311X142,311,0.0,0.0,0
missing__311X129,311,0.0,0.0,0
raw__420X135,420,0.0,0.0,0
raw__420X37,420,0.0,0.0,0
raw__420X140,420,0.0,0.0,0
raw__420X35,420,0.0,0.0,0
raw__420X34,420,0.0,0.0,0
missing__311X113,311,0.0,0.0,0
missing__311X115,311,0.0,0.0,0
raw__420X228,420,0.0,0.0,0
missing__311X116,311,0.0,,0
raw__420X202,420,0.0,0.0,0
missing__311X117,311,0.0,0.0,0
missing__311X118,311,0.0,,0
missing__311X119,311,0.0,0.0,0
missing__311X12,311,0.0,0.0,0
raw__420X160,420,0.0,0.0,0
missing__311X127,311,0.0,0.0,0
raw__420X156,420,0.0,0.0,0
raw__420X141,420,0.0,0.0,0
raw__420X157,420,0.0,,0
missing__520X26,520,0.0,0.0,0
raw__420X90,420,0.0,0.0,0
cat__TOOL_J,META,0.0,0.0,0
route__360_to_400__overlap,360_to_400,0.0,0.0,0
route__330_to_360__overlap,330_to_360,0.0,0.0,0
route__311_to_330__overlap,311_to_330,0.0,0.0,0
cat__TOOL (#3)_E,META,0.0,0.0,0
route__310_to_311__overlap,310_to_311,0.0,0.0,0
route__300_to_310__overlap,300_to_310,0.0,0.0,0
route__220_to_300__overlap,220_to_300,0.0,0.0,0
route__210_to_220__overlap,210_to_220,0.0,0.0,0
cat__TOOL_ID_E,META,0.0,0.0,0
raw__ERROR:#N/A_9,META,0.0,0.0,0
cat__TOOL_ID_N,META,0.0,0.0,0
raw__ERROR:#N/A_16,META,0.0,0.0,0
cat__TOOL_L,META,0.0,0.0,0
cat__Tool (#2)_W,META,0.0,0.0,0
raw__750X91,750,0.0,0.0,0
cat__TOOL_M,META,0.0,0.0,0
cat__TOOL_N,META,0.0,0.0,0
cat__TOOL_O,META,0.0,0.0,0
raw__750X704,750,0.0,,0
cat__Tool (#1)_B,META,0.0,0.0,0
raw__750X696,750,0.0,0.0,0
raw__750X69,750,0.0,0.0,0
cat__Tool (#1)_C,META,0.0,0.0,0
cat__Tool (#1)_D,META,0.0,0.0,0
raw__750X541,750,0.0,0.0,0
raw__750X475,750,0.0,0.0,0
cat__TOOL (#3)_D,META,0.0,0.0,0
route__400_to_420__overlap,400_to_420,0.0,0.0,0
route__420_to_520__overlap,420_to_520,0.0,0.0,0
cat__TOOL (#3)_C,META,0.0,0.0,0
time__750__start_day,750,0.0,0.0,0
time__750__span_min,750,0.0,0.0,0
time__750__median_day,750,0.0,0.0,0
time__750__end_day,750,0.0,0.0,0
time__520__valid_rate,520,0.0,0.0,0
time__420__valid_rate,420,0.0,0.0,0
time__360__valid_rate,360,0.0,0.0,0
time__360__span_min,360,0.0,0.0,0
time__330__valid_rate,330,0.0,0.0,0
cat__Chamber___MISSING__,META,0.0,0.0,0
time__330__span_min,330,0.0,0.0,0
cat__OPERATION_ID_XY1,META,0.0,0.0,0
time__310__valid_rate,310,0.0,0.0,0
cat__OPERATION_ID_XY2,META,0.0,0.0,0
cat__TOOL (#1)_K,META,0.0,0.0,0
cat__TOOL (#1)_T,META,0.0,0.0,0
cat__TOOL (#2)_A,META,0.0,0.0,0
time__220__valid_rate,220,0.0,0.0,0
cat__TOOL (#2)_C,META,0.0,0.0,0
cat__TOOL (#2)_D,META,0.0,0.0,0
time__210__valid_rate,210,0.0,0.0,0
cat__TOOL (#2)_E,META,0.0,0.0,0
cat__TOOL (#3)_A,META,0.0,0.0,0
cat__TOOL (#3)_B,META,0.0,0.0,0
route__520_to_750__overlap,520_to_750,0.0,0.0,0
cat__Tool (#1)_E,META,0.0,0.0,0
cat__Tool (#3)_Q,META,0.0,0.0,0
missing__311X111,311,0.0,0.0,0
raw__520X119,520,0.0,,0
raw__520X285,520,0.0,,0
raw__520X281,520,0.0,0.0,0
raw__520X26,520,0.0,0.0,0
missing__311X10,311,0.0,0.0,0
raw__520X24,520,0.0,0.0,0
missing__311X103,311,0.0,0.0,0
raw__520X135,520,0.0,0.0,0
raw__520X130,520,0.0,,0
raw__520X13,520,0.0,,0
raw__520X128,520,0.0,0.0,0
raw__520X124,520,0.0,,0
raw__520X123,520,0.0,,0
raw__520X117,520,0.0,0.0,0
cat__Tool (#3)_R,META,0.0,0.0,0
raw__520X113,520,0.0,0.0,0
raw__520X111,520,0.0,,0
raw__520X11,520,0.0,0.0,0
raw__520X109,520,0.0,,0
raw__520X108,520,0.0,,0
raw__520X104,520,0.0,0.0,0
raw__520X101,520,0.0,,0
missing__311X104,311,0.0,0.0,0
missing__311X106,311,0.0,0.0,0
missing__311X107,311,0.0,0.0,0
missing__311X109,311,0.0,0.0,0
missing__311X11,311,0.0,0.0,0
missing__311X1,311,0.0,0.0,0
cat__Tool_B,META,0.0,0.0,0
raw__520X34,520,0.0,,0
cat__Tool_A,META,0.0,0.0,0
cat__Tool (#4)_A,META,0.0,0.0,0
cat__Tool (#4)_B,META,0.0,0.0,0
cat__Tool (#4)_C,META,0.0,0.0,0
raw__520X99,520,0.0,0.0,0
raw__520X98,520,0.0,0.0,0
raw__520X94,520,0.0,,0
raw__520X89,520,0.0,0.0,0
cat__Tool (#4)_D,META,0.0,0.0,0
raw__520X86,520,0.0,0.0,0
missing__311X146,311,0.0,0.0,0
raw__520X79,520,0.0,,0
raw__520X74,520,0.0,0.0,0
raw__520X73,520,0.0,0.0,0
raw__520X69,520,0.0,,0
raw__520X68,520,0.0,,0
raw__520X64,520,0.0,0.0,0
raw__520X59,520,0.0,,0
raw__520X56,520,0.0,0.0,0
raw__520X49,520,0.0,,0
raw__520X44,520,0.0,0.0,0
raw__520X39,520,0.0,,0
raw__520X38,520,0.0,0.0,0
raw__520X36,520,0.0,,0
cat__Tool (#5)_12,META,0.0,0.0,0
cat__Tool (#5)_14,META,0.0,0.0,0
cat__Tool (#4)_E,META,0.0,0.0,0
raw__311X66,311,0.0,0.0,0
raw__344X78,344,0.0,0.0,0
missing__420X90,420,0.0,0.0,0
proc__520__missing_rate,520,0.0,0.0,0
missing__420X94,420,0.0,0.0,0
missing__420X93,420,0.0,0.0,0
proc__750__missing_rate,750,0.0,0.0,0
missing__420X92,420,0.0,0.0,0
missing__420X91,420,0.0,0.0,0
missing__420X89,420,0.0,,0
missing__420X68,420,0.0,0.0,0
missing__420X88,420,0.0,,0
missing__420X87,420,0.0,,0
missing__420X86,420,0.0,,0
missing__420X85,420,0.0,0.0,0
missing__420X71,420,0.0,0.0,0
missing__420X70,420,0.0,0.0,0
missing__420X95,420,0.0,,0
proc__440A__zero_rate,440A,0.0,0.0,0
missing__420X96,420,0.0,0.0,0
missing__420X97,420,0.0,0.0,0
proc__440A__missing_rate,440A,0.0,0.0,0
missing__420X98,420,0.0,0.0,0
missing__420X99,420,0.0,0.0,0
missing__520X1,520,0.0,0.0,0
missing__520X101,520,0.0,,0
missing__520X102,520,0.0,,0
missing__520X104,520,0.0,0.0,0
proc__420__missing_rate,420,0.0,0.0,0
missing__520X106,520,0.0,0.0,0
proc__420__median_z,420,0.0,0.0,0
missing__520X107,520,0.0,,0
proc__400__median_z,400,0.0,0.0,0
missing__520X108,520,0.0,,0
missing__420X69,420,0.0,0.0,0
missing__420X67,420,0.0,0.0,0
missing__520X109,520,0.0,,0
missing__420X159,420,0.0,0.0,0
missing__420X198,420,0.0,0.0,0
missing__420X197,420,0.0,0.0,0
missing__420X189,420,0.0,0.0,0
missing__420X188,420,0.0,0.0,0
missing__420X187,420,0.0,0.0,0
missing__420X160,420,0.0,,0
raw__210X201,210,0.0,,0
missing__420X66,420,0.0,0.0,0
raw__210X203,210,0.0,0.0,0
missing__420X157,420,0.0,,0
missing__420X156,420,0.0,,0
missing__420X141,420,0.0,0.0,0
missing__420X140,420,0.0,0.0,0
raw__210X221,210,0.0,,0
missing__420X200,420,0.0,0.0,0
missing__420X201,420,0.0,0.0,0
missing__420X202,420,0.0,0.0,0
missing__420X208,420,0.0,0.0,0
missing__420X209,420,0.0,,0
missing__420X210,420,0.0,0.0,0
missing__420X212,420,0.0,,0
missing__420X228,420,0.0,0.0,0
missing__420X30,420,0.0,0.0,0
missing__420X31,420,0.0,0.0,0
missing__420X33,420,0.0,0.0,0
missing__420X34,420,0.0,0.0,0
missing__420X35,420,0.0,0.0,0
missing__420X36,420,0.0,0.0,0
missing__420X37,420,0.0,0.0,0
missing__420X38,420,0.0,0.0,0
missing__420X4,420,0.0,0.0,0
proc__360__missing_rate,360,0.0,0.0,0
proc__344__missing_rate,344,0.0,0.0,0
missing__420X135,420,0.0,0.0,0
missing__520X84,520,0.0,0.0,0
missing__520X68,520,0.0,,0
missing__520X69,520,0.0,,0
missing__520X73,520,0.0,0.0,0
missing__520X74,520,0.0,0.0,0
missing__520X79,520,0.0,,0
missing__520X83,520,0.0,,0
missing__520X86,520,0.0,0.0,0
missing__ERROR:#N/A_25,META,0.0,0.0,0
missing__520X87,520,0.0,0.0,0
missing__520X89,520,0.0,0.0,0
missing__520X94,520,0.0,,0
missing__520X96,520,0.0,0.0,0
missing__520X97,520,0.0,0.0,0
missing__520X98,520,0.0,0.0,0
missing__520X67,520,0.0,0.0,0
missing__520X64,520,0.0,0.0,0
missing__520X59,520,0.0,,0
missing__520X56,520,0.0,0.0,0
missing__520X52,520,0.0,,0
missing__520X49,520,0.0,,0
missing__520X47,520,0.0,,0
missing__520X44,520,0.0,0.0,0
missing__520X43,520,0.0,,0
missing__520X39,520,0.0,,0
missing__520X38,520,0.0,0.0,0
missing__520X37,520,0.0,,0
missing__520X36,520,0.0,,0
missing__520X34,520,0.0,,0
missing__520X33,520,0.0,0.0,0
missing__520X32,520,0.0,0.0,0
missing__520X285,520,0.0,,0
missing__520X99,520,0.0,0.0,0
missing__520X24,520,0.0,0.0,0
missing__520X11,520,0.0,0.0,0
missing__520X119,520,0.0,,0
missing__520X128,520,0.0,0.0,0
missing__520X124,520,0.0,,0
missing__520X123,520,0.0,,0
missing__520X12,520,0.0,,0
proc__312__median_z,312,0.0,0.0,0
proc__312__missing_rate,312,0.0,0.0,0
missing__520X117,520,0.0,0.0,0
missing__520X23,520,0.0,0.0,0
missing__520X113,520,0.0,0.0,0
proc__330__missing_rate,330,0.0,0.0,0
missing__520X112,520,0.0,0.0,0
missing__520X111,520,0.0,,0
proc__340__median_z,340,0.0,0.0,0
proc__340__missing_rate,340,0.0,0.0,0
missing__520X129,520,0.0,0.0,0
missing__520X13,520,0.0,,0
missing__520X130,520,0.0,,0
missing__520X134,520,0.0,,0
proc__310__missing_rate,310,0.0,0.0,0
missing__520X135,520,0.0,0.0,0
proc__300__zero_rate,300,0.0,0.0,0
missing__520X143,520,0.0,0.0,0
proc__300__outlier_rate,300,0.0,0.0,0
missing__520X167,520,0.0,,0
missing__520X176,520,0.0,,0
missing__520X177,520,0.0,0.0,0
proc__220__zero_rate,220,0.0,0.0,0
proc__220__missing_rate,220,0.0,0.0,0
missing__520X178,520,0.0,,0
proc__210__missing_rate,210,0.0,0.0,0
missing__520X22,520,0.0,0.0,0
missing__420X138,420,0.0,,0
raw__210X30,210,0.0,,0
raw__344X77,344,0.0,0.0,0
missing__311X209,311,0.0,0.0,0
missing__311X24,311,0.0,,0
raw__330X177,330,0.0,,0
missing__311X223,311,0.0,0.0,0
missing__311X212,311,0.0,,0
missing__311X211,311,0.0,0.0,0
missing__311X210,311,0.0,0.0,0
missing__311X208,311,0.0,,0
missing__311X196,311,0.0,0.0,0
missing__311X207,311,0.0,0.0,0
missing__311X206,311,0.0,0.0,0
missing__311X205,311,0.0,0.0,0
missing__311X204,311,0.0,0.0,0
missing__311X203,311,0.0,0.0,0
missing__311X200,311,0.0,0.0,0
missing__311X25,311,0.0,0.0,0
raw__330X1261,330,0.0,,0
missing__311X26,311,0.0,0.0,0
raw__330X1173,330,0.0,,0
missing__311X27,311,0.0,0.0,0
missing__311X28,311,0.0,0.0,0
missing__311X29,311,0.0,0.0,0
missing__311X30,311,0.0,0.0,0
missing__311X31,311,0.0,,0
missing__311X32,311,0.0,0.0,0
missing__311X33,311,0.0,0.0,0
missing__311X4,311,0.0,0.0,0
missing__311X5,311,0.0,,0
missing__311X52,311,0.0,0.0,0
missing__311X53,311,0.0,,0
raw__311X85,311,0.0,0.0,0
missing__311X58,311,0.0,,0
missing__311X197,311,0.0,0.0,0
raw__330X993,330,0.0,,0
missing__311X62,311,0.0,0.0,0
missing__311X151,311,0.0,0.0,0
raw__344X190,344,0.0,0.0,0
missing__311X182,311,0.0,0.0,0
missing__311X162,311,0.0,0.0,0
missing__311X155,311,0.0,0.0,0
missing__311X154,311,0.0,0.0,0
missing__311X152,311,0.0,0.0,0
raw__344X48,344,0.0,0.0,0
missing__311X195,311,0.0,0.0,0
missing__311X149,311,0.0,,0
missing__311X148,311,0.0,,0
raw__344X55,344,0.0,0.0,0
raw__344X6,344,0.0,,0
missing__311X147,311,0.0,0.0,0
raw__344X73,344,0.0,0.0,0
missing__311X183,311,0.0,0.0,0
missing__311X184,311,0.0,0.0,0
raw__344X172,344,0.0,0.0,0
missing__311X187,311,0.0,0.0,0
missing__311X188,311,0.0,0.0,0
raw__344X154,344,0.0,0.0,0
missing__311X189,311,0.0,0.0,0
raw__344X13,344,0.0,0.0,0
raw__344X119,344,0.0,0.0,0
missing__311X190,311,0.0,0.0,0
raw__344X110,344,0.0,0.0,0
missing__311X191,311,0.0,0.0,0
raw__344X10,344,0.0,0.0,0
missing__311X192,311,0.0,0.0,0
raw__340X77,340,0.0,,0
missing__311X193,311,0.0,0.0,0
missing__311X194,311,0.0,0.0,0
missing__311X61,311,0.0,0.0,0
missing__311X63,311,0.0,0.0,0
missing__420X134,420,0.0,0.0,0
raw__310X24,310,0.0,,0
missing__311X94,311,0.0,0.0,0
missing__311X93,311,0.0,0.0,0
missing__311X92,311,0.0,0.0,0
missing__311X91,311,0.0,0.0,0
missing__311X90,311,0.0,0.0,0
raw__310X22,310,0.0,,0
raw__311X103,311,0.0,0.0,0
missing__311X89,311,0.0,0.0,0
missing__311X9,311,0.0,0.0,0
raw__311X116,311,0.0,,0
raw__311X118,311,0.0,,0
raw__311X127,311,0.0,0.0,0
raw__311X129,311,0.0,0.0,0
raw__311X131,311,0.0,0.0,0
missing__311X95,311,0.0,0.0,0
missing__312X169,312,0.0,,0
missing__312X478,312,0.0,0.0,0
missing__312X520,312,0.0,,0
missing__312X699,312,0.0,0.0,0
missing__344X147,344,0.0,0.0,0
missing__344X16,344,0.0,,0
missing__344X22,344,0.0,,0
missing__344X37,344,0.0,,0
missing__344X79,344,0.0,0.0,0
missing__400X170,400,0.0,,0
missing__420X1,420,0.0,,0
missing__420X100,420,0.0,0.0,0
missing__420X114,420,0.0,0.0,0
missing__420X115,420,0.0,0.0,0
missing__420X118,420,0.0,0.0,0
missing__420X132,420,0.0,0.0,0
raw__311X135,311,0.0,0.0,0
raw__311X139,311,0.0,,0
missing__311X65,311,0.0,0.0,0
missing__311X71,311,0.0,0.0,0
missing__311X74,311,0.0,0.0,0
missing__311X73,311,0.0,0.0,0
missing__311X72,311,0.0,0.0,0
raw__311X29,311,0.0,0.0,0
raw__311X31,311,0.0,,0
raw__311X32,311,0.0,0.0,0
missing__311X70,311,0.0,0.0,0
raw__311X140,311,0.0,,0
missing__311X69,311,0.0,0.0,0
missing__311X68,311,0.0,0.0,0
raw__311X62,311,0.0,0.0,0
missing__520X281,520,0.0,0.0,0
missing__311X67,311,0.0,0.0,0
missing__311X66,311,0.0,0.0,0
missing__311X75,311,0.0,0.0,0
missing__311X76,311,0.0,0.0,0
missing__311X8,311,0.0,0.0,0
missing__311X80,311,0.0,0.0,0
missing__311X81,311,0.0,0.0,0
missing__311X82,311,0.0,0.0,0
missing__311X83,311,0.0,0.0,0
missing__311X84,311,0.0,0.0,0
missing__311X85,311,0.0,0.0,0
missing__311X86,311,0.0,0.0,0
missing__311X87,311,0.0,0.0,0
missing__311X88,311,0.0,0.0,0
raw__311X152,311,0.0,0.0,0
raw__311X149,311,0.0,,0
raw__311X148,311,0.0,0.0,0
raw__311X146,311,0.0,0.0,0
raw__311X141,311,0.0,0.0,0
time__750__valid_rate,750,0.0,0.0,0
