outer_fold,mse,rmse,mae,r2,inner_best_mse,best_params,elapsed_sec
1,0.042106623142551924,0.20519898426296346,0.16741310760724698,0.1618458059032748,0.011441452506637771,"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 1200}",16.131841400005214
2,0.026424060073917417,0.16255479099035322,0.13081454089443198,0.3128770844886942,0.01074177975477273,"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 1200}",13.865866999993159
3,0.014376064242428821,0.11990022619840557,0.0928798535920361,0.2763948353605191,0.011133173885010532,"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 1200}",16.066717500005325
