experiment,transform,reducer,mse_mean,mse_std,rmse_mean,mae_mean,r2_mean,output_features,explained_variance,elapsed_sec
pca50,standard,pca50,0.03870250804883854,0.026197504286915512,0.1882078469458813,0.15121889648448258,0.01750252773349222,50.0,0.8933291972627159,0.32554210000671446
svd50,standard,svd50,0.040216963182524185,0.02606309804191987,0.19218444541198043,0.1527640597207902,-0.023790753138111482,50.0,0.8931829542432491,0.08107529999688268
robust,robust,none,0.04261196970854251,0.03212311394161546,0.19629016320856374,0.158755995217255,-0.07402940316715582,746.6666666666666,1.0,0.1540134000024409
quantile_normal,quantile_normal,none,0.048937425903743066,0.040562732875464066,0.20747061024037683,0.16638286692307758,-0.1960301395356443,746.6666666666666,1.0,0.8392525000017486
pca95,standard,pca95,0.04950347070440117,0.028795745721223405,0.21530716284554252,0.16846119868129097,-0.29380590181815025,85.66666666666667,0.9504772639481828,0.3149041000069701
standard,standard,none,0.05107463234520208,0.032949757846212784,0.2182138388358542,0.1763203336220679,-0.3422018182959122,746.6666666666666,1.0,0.04586380000546342
raw_none,none,none,0.05519622523287091,0.00978814341837522,0.2343489356609322,0.19156059994601937,-0.7052152718039424,746.6666666666666,1.0,0.1749472000010428
pls20,standard,pls20,0.06469012705027714,0.03224908330030342,0.24857485338311133,0.19261234491474952,-0.7471334687523005,20.0,,0.20519229999626987
yeo_johnson,yeo_johnson,none,507856.41571299854,879633.074163571,411.5449891999812,54.68264544730616,-10109144.867871812,746.6666666666666,1.0,2.6901965999932145
