strategy,a_weight,validation_rows,mse,rmse,mae,r2,bias,worst_fold_mse
train_plus_released_a_x2,2.0,200,0.020915528272614642,0.14462201862999507,0.11322716423504517,0.6640876734826595,-0.011496165485474859,0.03192584408920682
train_plus_released_a_x1,1.0,200,0.020962245809999547,0.14478344453009656,0.11229354860164369,0.663337369858119,-0.012096981496903692,0.0321017601318513
train_plus_released_a_x4,4.0,200,0.021185329246768223,0.1455518094932805,0.1156434139544983,0.6597545544840236,-0.00701825448999146,0.030242559247513127
train_only_robust_blend,0.0,200,0.029489815051183088,0.17172598828128224,0.14185605492294273,0.5263809618722746,0.04106534571320476,0.03854762043482337
