model,mse_mean,mse_std,rmse_mean,mae_mean,r2_mean,elapsed_sec
XGBoost,0.02834289266808773,0.01721671405957747,0.16312454603827234,0.13112943261662893,0.2498129788348407,4.441640600001847
RandomForest,0.030048477904105864,0.018113666170832154,0.16781562749761517,0.13513989016659214,0.21011914851949035,1.0236847999985912
ExtraTrees,0.03299278295828106,0.016522602748862067,0.1778423406405479,0.14306887138460125,0.09605787722047972,0.7131943999920622
