strategy,mse,rmse,mae,r2,bias,prediction_std
uniform_xgb,0.02752459815147832,0.16590538915743008,0.1344167561974527,0.5017127450730607,0.04990337657519463,0.13749893949161804
robust_blend_baseline,0.030015997843671684,0.17325125639853722,0.14152855602188102,0.4566100806593324,0.05459983476474176,0.13086016442206505
