model,fold,mse,rmse,mae,r2,elapsed_sec
RandomForest,1,0.04934903167726718,0.2221464194563288,0.17781999626833261,0.017681903987353698,0.3547206000002916
ExtraTrees,1,0.050956079494875864,0.22573453323511639,0.18044464228273913,-0.014307217151204421,0.256309099997452
XGBoost,1,0.04719526427335873,0.21724471057625025,0.17800773107600104,0.06055376233095,1.398203700002341
RandomForest,2,0.027378270514695734,0.16546380424339255,0.13733356582386705,0.2880640974516979,0.32236269999702927
ExtraTrees,2,0.029577676233031275,0.17198161597400832,0.14055297459000243,0.23087144555235228,0.22737269999925047
XGBoost,2,0.024380799347450598,0.15614352163138437,0.12480286648804424,0.3660093913178578,1.5053985999984434
RandomForest,3,0.013418131520354676,0.11583665879312419,0.09026610840757679,0.32461144411941945,0.3466015000012703
ExtraTrees,3,0.01844459314693602,0.13581087271251893,0.10820899728106222,0.0716094032602913,0.22951259999535978
XGBoost,3,0.013452614383453854,0.11598540590718237,0.09057770028584151,0.3228757828557143,1.5380383000010625
