stage,elapsed_sec,note
数据与环境快照,7.231492899998557,输入SHA256、软件版本和运行配置
逐行逐列缺失审计,0.8905207999996492,行、列、工序和缺失机制候选
方差与理论分布,2.17563969999901,方差、AIC、KS检验和理论分布图
统一滚动实验特征,10.954353400004038,三折共用同一特征构建口径
特征变换与降维,4.837932399997953,9组变换/降维方案
工序特征消融,18.01711420000356,6组累计和独立特征视图
嵌套网格搜索,46.078620500004035,3个外层时间折、每折24个内层拟合
树模型对比与实验图,7.442464299994754,RF、ExtraTrees和XGBoost
样本、残差与物理语义,3.307006100003491,逐样本特征偏离和统计检验
完善分析总计,100.94760369999858,从审计到消融、搜索、诊断和可视化
