experiment,mse_mean,mse_std,rmse_mean,mae_mean,r2_mean,n_features,elapsed_sec
A3_process_time,0.02738800616340058,0.0161523783633388,0.16071956485033767,0.13024391433000349,0.26875072560722857,723.0,4.02519640000537
A4_full,0.02834289266808773,0.01721671405957747,0.16312454603827234,0.13112943261662893,0.2498129788348407,769.3333333333334,4.182441299999482
A1_raw_missing,0.02859226726492344,0.015881698106612996,0.16474145543801985,0.13381169602596252,0.22967740772747827,483.0,2.4466991999943275
A2_process,0.02937214227945772,0.018339506815963143,0.1658478666526417,0.13340857184905405,0.22361171184215814,648.0,3.4056497999990825
A0_raw,0.030435410804237308,0.017949493701042686,0.16943111476160247,0.13725900733970242,0.18716110198036037,320.0,2.002664600004209
A5_process_only,0.032300067279752265,0.01126179513252299,0.17764959389285262,0.14034615811188297,0.08460923300014167,286.3333333333333,1.9357158999991952
