model,product_equal_mse,product_equal_mae
fixed_full_d2,0.023474887323138585,0.1252607545077941
fixed_raw_d2,0.024269248220648583,0.12837941700860955
mean_baseline,0.04016475997042348,0.15648474846467783
nested_selected,0.02514646768018526,0.13043236532839364
