model,mse,rmse,mae,r2,low_cutoff_from_development,n_low,low_tail_mse,low_tail_mae,low_value_recall,predicted_low_count,median_pinball_loss,max_abs_error
absolute_loss_d2,0.04382144872315466,0.2093357320744709,0.14584523852997006,0.1812272613989041,2.5398564738636256,5,0.40872071068814775,0.5144563653761964,0.0,0,0.07292261926498503,1.2501682031654218
frozen_full_d3,0.042648935196831446,0.20651618628289514,0.142695965123968,0.20313484635939927,2.5398564738636256,5,0.3946540571777658,0.49760767407167183,0.0,0,0.071347982561984,1.240926622202287
full_d2,0.042427695073896515,0.20597984142603984,0.13960296763051144,0.20726856139215133,2.5398564738636256,5,0.39785924596636196,0.48636593607016615,0.0,0,0.06980148381525572,1.2588556198778647
low_tail_weight_d2,0.04288059013084698,0.20707629060529112,0.1398662374003937,0.19880653795652947,2.5398564738636256,5,0.41853850687933036,0.5127755302881025,0.0,0,0.06993311870019685,1.2669355460507572
no_time_d2,0.04668443017788371,0.2160658005744632,0.15495690779081528,0.12773448024824263,2.5398564738636256,5,0.36565261470381305,0.45937378989605326,0.2,2,0.07747845389540764,1.2000040599209965
