feature,selection_count_of_9
330X318,2
520X57,2
344X262,2
330X375,2
330X256,2
344X51,2
420X90,2
311X53,2
520X400,2
312X389,2
420X132,2
360X434,2
210X139,2
750X47,2
750X327,2
420X205,2
312X676,2
750X637,2
750X228,2
360X45,2
360X455,2
312X95,2
330X790,2
420X30,2
750X1364,2
750X582,2
750X765,2
312X22,2
330X800,2
ERROR:#N/A (#3),2
750X1105,2
210X154,2
312X27,2
210X123,2
210X128,2
210X192,1
ERROR:#N/A_6,1
520X404,1
520X61,1
750X635,1
520X6,1
210X188,1
750X645,1
ERROR:#N/A_25,1
330X973,1
210X130,1
520X46,1
750X702,1
330X385,1
750X704,1
750X741,1
210X189,1
750X1,1
750X595,1
330X435,1
340X83,1
340X65,1
750X1146,1
210X160,1
520X403,1
210X161,1
340X85,1
330X571,1
210X175,1
330X53,1
750X1245,1
330X460,1
750X1267,1
344X106,1
750X554,1
330X630,1
750X1391,1
340X165,1
330X425,1
520X73,1
520X71,1
340X163,1
210X182,1
750X294,1
750X1061,1
340X161,1
330X398,1
750X543,1
360X971,1
330X313,1
330X358,1
360X425,1
420X193,1
420X196,1
312X47,1
312X387,1
312X383,1
312X38,1
312X375,1
420X209,1
420X210,1
312X374,1
312X37,1
312X36,1
312X349,1
360X403,1
312X283,1
312X277,1
312X220,1
420X192,1
312X6,1
520X37,1
312X682,1
400X118,1
400X120,1
400X188,1
400X198,1
400X202,1
360X635,1
330X1229,1
330X1227,1
330X119,1
330X1153,1
330X1236,1
420X123,1
330X1147,1
330X1107,1
360X508,1
330X1100,1
312X696,1
312X217,1
312X209,1
312X18,1
420X74,1
330X193,1
330X196,1
330X201,1
330X21,1
520X239,1
330X26,1
520X241,1
520X242,1
330X1232,1
330X315,1
520X283,1
344X195,1
520X321,1
520X326,1
330X331,1
330X338,1
330X341,1
330X189,1
210X63,1
330X182,1
360X1288,1
420X85,1
420X86,1
420X89,1
312X166,1
311X52,1
360X185,1
311X116,1
311X111,1
520X118,1
330X1253,1
330X126,1
310X168,1
344X90,1
220X169,1
210X99,1
330X133,1
330X59,1
