reference,candidate,n_records,n_groups,mse_difference_ref_minus_candidate,ci_low,ci_high,group_equal_difference,group_equal_ci_low,group_equal_ci_high,group_sign_flip_p,interpretation,block5_low,block5_high,block10_low,block10_high,block20_low,block20_high,holm_adjusted_p_across_reported_comparisons
fixed_raw_d2,fixed_full_d2,300,296,0.0008531482087766798,-0.0006277862160570287,0.002348422571005214,0.0007943608975099973,-0.0006613071897645477,0.0022597012540397435,0.2683463307338532,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008615485621734836,0.002599670414208779,-0.0009348983073927442,0.002763270135529893,-0.0010963630584156444,0.0029781974882349825,1.0
basic,process_only,300,296,0.00024187964004694325,-0.0011486140380593383,0.0015535847132027328,0.00015749970478494958,-0.0011356649187389601,0.0014213228322459894,0.733253349330134,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.001325745320336301,0.0018076123729442314,-0.0015569330447536235,0.002072696494805301,-0.0018150988667401673,0.00226156934083722,1.0
basic,time_only,300,296,0.002370322234995687,0.0010099670702355804,0.0037715570630957387,0.002227102020121529,0.0009042271430058001,0.0035843748953604997,0.0005998800239952009,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,0.00072945265783951,0.004109707716574135,0.0007227155520616197,0.004090784595806041,0.0007095584860288152,0.004231497100357695,0.004799040191961607
basic,full,300,296,0.000853153607653383,-0.000627784552859521,0.002348426491566922,0.000794366405415246,-0.0006613080518451861,0.002259710389798514,0.2683463307338532,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008615377274461864,0.0025996764425678877,-0.0009348903527114311,0.0027632728016218464,-0.0010963542127763845,0.002978198926910428,1.0
full,no_mask,300,296,0.0005067979814672931,2.6375972070894353e-05,0.0010325261281261512,0.000538616952091288,6.742795199934974e-05,0.0010609455992452795,0.04839032193561288,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,2.6339959544846415e-05,0.0009822585719590573,3.14897026724296e-05,0.0009387742045524525,3.5319303837898904e-05,0.0009749411288250624,0.33873225354929015
full,median_only,300,296,-1.7647365989826904e-05,-0.0007062163176668429,0.0006931248559112096,-8.321695045468247e-05,-0.0007744405819346717,0.0006215878640698268,0.9580083983203359,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008783775665276528,0.0008100246146462334,-0.0009917061765992842,0.0008679488634718675,-0.0010146395351291531,0.0009087795743875209,1.0
full,group_min5,300,296,-3.0742689282345447e-09,-9.284704816815738e-09,0.0,-3.115813102940417e-09,-9.34743930882125e-09,0.0,1.0,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-9.34743930882125e-09,0.0,-9.284704816815738e-09,0.0,-9.315966449195589e-09,0.0,1.0
full,group_min5_shrink10,300,296,0.00037065292620827855,-0.00019208694249383355,0.0009511550617020866,0.00035276936213825185,-0.00021006871568881306,0.0009378830163815276,0.1957608478304339,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.00023558615839776762,0.0009711431191012512,-0.00024777966399946994,0.0009709695468284151,-0.00018209258620170354,0.0009627579484484945,1.0
