segment,n,mean,std,min,q10,median,max,low_fraction
development,620,2.8129006497606857,0.20518995524103328,2.296183890152083,2.5398564738636256,2.8045438106054172,3.4054379431804156,0.1
calibration,80,2.8957698148280224,0.18418352429377322,2.380365381313055,2.633976398106416,2.9101162398988887,3.2611557727279177,0.0375
tail,100,2.906974297838106,0.23251130898872763,1.6142395746208331,2.700502642423834,2.9240664438132637,3.4524270227275,0.05
