stage,candidate,loss,n,fold_min,fold_max,pooled_mse,rank
final_development,full_d2,2.413097504103648,120,0.0147082076942898,0.025510084040771,0.0201091458675304,3.0
final_development,full_d3,2.29880967608097,120,0.0133703344114127,0.0249431601899368,0.01915674730067475,1.0
final_development,raw_d2,2.427013504384404,120,0.0151141586172125,0.0253360664558609,0.0202251125365367,4.0
final_development,raw_d3,2.37772089169695,120,0.014045589292896,0.0255830922353865,0.01981434076414125,2.0
outer_1,full_d2,2.363997294502362,120,0.0193162265081453,0.0200837284002274,0.01969997745418635,1.0
outer_1,full_d3,2.380475401864536,120,0.0194482221498445,0.0202263678812311,0.0198372950155378,2.0
outer_1,raw_d2,2.519251167391782,120,0.0206896267022123,0.0212978927543174,0.02099375972826485,3.0
outer_1,raw_d3,2.5330278473178,120,0.0206742483594734,0.0215428824291566,0.021108565394315,4.0
outer_2,full_d2,2.36158299945297,120,0.0189347889366616,0.0204249277208879,0.01967985832877475,3.0
outer_2,full_d3,2.398753318282476,120,0.0192402713774645,0.0207389505939101,0.0199896109856873,4.0
outer_2,raw_d2,2.295964906947078,120,0.0176265014725858,0.0206395803098655,0.01913304089122565,2.0
outer_2,raw_d3,2.2597042016358717,120,0.0173281513795174,0.0203335853144138,0.0188308683469656,1.0
outer_3,full_d2,3.972636179355924,120,0.0245031734786725,0.0417074295105929,0.0331053014946327,2.0
outer_3,full_d3,4.001594538111876,120,0.024168909386267,0.0425243329155976,0.0333466211509323,3.0
outer_3,raw_d2,3.953422016481534,120,0.0232784167075192,0.0426119502338397,0.03294518347067945,1.0
outer_3,raw_d3,4.03320852138219,120,0.0236780676520397,0.0435420743709968,0.03361007101151825,4.0
