experiment,tool_onehot,target_encoding,target_std,tool_anomaly,global_anomaly,mse,rmse,mae,r2,mse_std,tool_o_mse,tool_o_mae,features_mean
E3_tool_target_mean_std,True,True,True,False,False,0.011960665855455107,0.10936482915204095,0.07811001929345712,0.7282180218811138,0.00508494543389255,0.02830729486575418,0.08474853995308616,497.8
E5_tool_global_anomaly,True,True,True,True,True,0.011968789520115361,0.10940196305421289,0.07877613218455157,0.7280334280066908,0.0050068908868215935,0.028004137509235746,0.08716425163168853,507.8
E0_baseline,False,False,False,False,False,0.011979327015571433,0.10945011199433025,0.07876897251279823,0.7277939847019383,0.005058008325877945,0.027667473675107745,0.08516297645782508,488.8
E4_tool_target_anomaly,True,True,True,True,False,0.012001669394940491,0.10955213094659771,0.07857657794490794,0.7272862992491225,0.005116866019836332,0.028553845436816286,0.0872506040119195,502.8
E2_tool_target_mean,True,True,False,False,False,0.012025173277349826,0.10965935107116868,0.07862861900078828,0.7267522209852633,0.00511431057181428,0.02826201249662681,0.08533171271801937,496.8
E1_tool_onehot,True,False,False,False,False,0.012122469396505475,0.11010208624955967,0.07901709008173156,0.7245413631578662,0.005219585448896159,0.028590175569797618,0.08735748251988519,493.8
