Tool,n,mse,rmse,mae,max_error,mean_y,std_y
O,86,0.02830729486575418,0.16824771875349212,0.08474853995308616,1.2857388246559003,2.9104048844017716,0.234102466180742
J,142,0.01192883963846342,0.10921922742110667,0.08207569201647433,0.43302957559770716,2.949783267861515,0.19565349026143447
L,178,0.010478204791889961,0.10236310268788242,0.07791219183219743,0.36639182545189364,2.8014289389269056,0.1725439824331681
M,128,0.009753391560316507,0.09875926063066949,0.0786642703855447,0.29408257552083317,2.7898901206955533,0.21902766065780402
N,266,0.0087468252803402,0.09352446353944084,0.0737123908909025,0.3051390551798647,2.787342432890113,0.19778913280740207
