stage,candidate,loss,n,fold_min,fold_max,pooled_mse,rank
outer_1,raw_d2,2.519251167391782,120,0.0206896267022123,0.0212978927543174,0.02099375972826485,5.0
outer_1,raw_d3,2.5330278473178,120,0.0206742483594734,0.0215428824291566,0.021108565394315,6.0
outer_1,process_d2,2.729112908851722,120,0.0221024526606839,0.0233827624868448,0.02274260757376435,7.0
outer_1,process_d3,2.771970782780814,120,0.0226849872606664,0.0235145257856805,0.02309975652317345,8.0
outer_1,time_d2,2.1683097944181178,120,0.0170024522469701,0.0191360443266652,0.01806924828681765,1.0
outer_1,time_d3,2.1856955221491963,120,0.0170613217443882,0.0193669369580984,0.0182141293512433,2.0
outer_1,full_d2,2.363997294502362,120,0.0193162265081453,0.0200837284002274,0.01969997745418635,3.0
outer_1,full_d3,2.380475401864536,120,0.0194482221498445,0.0202263678812311,0.0198372950155378,4.0
outer_2,raw_d2,2.295964906947078,120,0.0176265014725858,0.0206395803098655,0.01913304089122565,4.0
outer_2,raw_d3,2.2597042016358717,120,0.0173281513795174,0.0203335853144138,0.0188308683469656,2.0
outer_2,process_d2,2.4366780376850636,120,0.0188225276113697,0.0217887730167147,0.020305650314042197,8.0
outer_2,process_d3,2.3544027541076042,120,0.0180679181032042,0.0211721277985892,0.019620022950896703,5.0
outer_2,time_d2,2.29319239848534,120,0.0188377566301781,0.0193821166779109,0.0191099366540445,3.0
outer_2,time_d3,2.2364906204725976,120,0.0174793673622093,0.019795476312334,0.018637421837271646,1.0
outer_2,full_d2,2.36158299945297,120,0.0189347889366616,0.0204249277208879,0.01967985832877475,6.0
outer_2,full_d3,2.398753318282476,120,0.0192402713774645,0.0207389505939101,0.0199896109856873,7.0
outer_3,raw_d2,3.953422016481534,120,0.0232784167075192,0.0426119502338397,0.03294518347067945,2.0
outer_3,raw_d3,4.03320852138219,120,0.0236780676520397,0.0435420743709968,0.03361007101151825,6.0
outer_3,process_d2,4.092939074960976,120,0.0246766306348681,0.0435390206144815,0.034107825624674806,7.0
outer_3,process_d3,4.1637432144568205,120,0.0253042626745831,0.0440914575663639,0.0346978601204735,8.0
outer_3,time_d2,4.009282242367512,120,0.0226879964597618,0.0441333742463634,0.033410685353062596,5.0
outer_3,time_d3,3.7892448281332376,120,0.0220176843247711,0.0411363961441162,0.031577040234443646,1.0
outer_3,full_d2,3.972636179355924,120,0.0245031734786725,0.0417074295105929,0.0331053014946327,3.0
outer_3,full_d3,4.001594538111876,120,0.024168909386267,0.0425243329155976,0.0333466211509323,4.0
final_development,raw_d2,2.427013504384404,120,0.0151141586172125,0.0253360664558609,0.0202251125365367,6.0
final_development,raw_d3,2.37772089169695,120,0.014045589292896,0.0255830922353865,0.01981434076414125,4.0
final_development,process_d2,2.313922099293486,120,0.0145159546007307,0.0240494137208274,0.01928268416077905,3.0
final_development,process_d3,2.282322285682386,120,0.0127352972639575,0.0253034074974156,0.019019352380686548,1.0
final_development,time_d2,2.518072495753098,120,0.0148790695911903,0.027088805338028,0.02098393746460915,7.0
final_development,time_d3,2.519012961896796,120,0.0146076423095273,0.0273759070554193,0.0209917746824733,8.0
final_development,full_d2,2.413097504103648,120,0.0147082076942898,0.025510084040771,0.0201091458675304,5.0
final_development,full_d3,2.29880967608097,120,0.0133703344114127,0.0249431601899368,0.01915674730067475,2.0
