row_index,absolute_error
630,0.1221815524563592
631,0.0706886540326006
695,0.05920466362573995
696,0.06872195657348623
697,0.13373718906279652
583,0.10261312988468063
501,0.05484836153407002
485,0.06594917341292295
487,0.03138545622336686
489,0.3370539365804244
491,0.019120942249219564
465,0.043416604506753664
464,0.1476813246812516
466,0.005205368529411558
560,0.13232970394900656
561,0.0882401413828866
562,0.06549039101774934
564,0.11454154508141734
502,0.13611384576976215
503,0.008431792324870901
690,0.18045860741772124
504,0.010600508290086186
497,0.058860037673117205
496,0.060175181898053154
689,0.06916077351790939
688,0.25703987907956316
691,0.03588474535914621
687,0.2511008050908705
612,0.10895259596252416
611,0.03195004271620272
613,0.03615265066891382
614,0.02667053549412035
488,0.03270089099713003
486,0.062205683829589464
490,0.3376949646667686
492,0.01881870696377863
699,0.10476953230015829
711,0.10318921208284104
712,0.01470771318552222
710,0.13981208732106287
655,0.02716280137873106
656,0.047005904884493965
657,0.22314263738255713
654,0.14141883124993582
684,0.2518646949007195
683,0.05583341612603476
685,0.010747723552124722
686,0.03519017933447177
675,0.15616966142294153
676,0.13130248659032961
674,0.11945979158518094
673,0.06092349385299656
693,0.030399924335432704
692,0.015360594279286932
694,0.11127384800841211
584,0.2875304189707437
585,0.31702143855254583
586,0.0751471407653388
663,0.04847007133463288
664,0.03276174859259351
666,0.06671443514218733
665,0.05560800003165722
662,0.04829400447708787
661,0.007439075983580512
701,0.0296950238084861
714,0.26899400393420647
713,0.19153413007079756
715,0.3603134867000448
716,0.08387861597935764
733,0.09527575945882427
717,0.10665783736497447
718,0.20763158425966122
706,0.11014034592629907
705,0.058970229909260485
698,0.06337538521082742
700,0.07480293446921582
730,0.04370580335500307
731,0.3455666604909404
732,0.05303456052210276
669,0.22055031081063525
