strategy,stratifier,level,n,covered,coverage,mean_width,wilson_low,wilson_high,small_group
fixed,overall,all,100,87,0.87,0.5140797581591263,0.7901964855992357,0.9224283257275948,False
fixed,predicted_tercile,lower_predicted,36,31,0.8611111111111112,0.5140797581591264,0.713404696106438,0.9391818499086717,False
fixed,predicted_tercile,middle_predicted,31,28,0.9032258064516129,0.5140797581591265,0.7510006155660716,0.9665353558368026,False
fixed,predicted_tercile,upper_predicted,33,28,0.8484848484848485,0.5140797581591263,0.6908012411955788,0.9334954271839244,False
fixed,TOOL,J,43,39,0.9069767441860465,0.5140797581591264,0.783972963587464,0.9632283593682872,False
fixed,TOOL,M,11,10,0.9090909090909091,0.5140797581591263,0.6226415635484043,0.9837678271141151,True
fixed,TOOL,N,14,13,0.9285714285714286,0.5140797581591263,0.6853129557584889,0.9872777847521093,True
fixed,TOOL,O,16,11,0.6875,0.5140797581591263,0.44404355834740666,0.8583535614521796,True
fixed,TOOL,L,16,14,0.875,0.5140797581591263,0.639771727342413,0.9650225122567595,True
fixed,Tool,B,100,87,0.87,0.5140797581591263,0.7901964855992357,0.9224283257275948,False
fixed,TOOL_ID,E,75,66,0.88,0.5140797581591263,0.7874035979525128,0.9355662817605549,False
fixed,TOOL_ID,N,25,21,0.84,0.5140797581591263,0.6534637839282114,0.9359654854332355,False
fixed,Tool (#1),B,100,87,0.87,0.5140797581591263,0.7901964855992357,0.9224283257275948,False
fixed,TOOL (#1),V,45,39,0.8666666666666667,0.5140797581591264,0.7382269817382293,0.9374285125243192,False
fixed,TOOL (#1),K,44,37,0.8409090909090909,0.5140797581591264,0.7063379493775939,0.9207332298779876,False
fixed,TOOL (#1),T,11,11,1.0,0.5140797581591263,0.7411670330319684,1.0,True
fixed,Chamber ID,2,44,40,0.9090909090909091,0.5140797581591264,0.7884076083340138,0.9640778067726837,False
fixed,Chamber ID,1,13,12,0.9230769230769231,0.5140797581591263,0.6668604907890041,0.9862895787574435,True
fixed,Chamber ID,3,43,35,0.813953488372093,0.5140797581591264,0.6738299634272562,0.9025824857100377,False
fixed,TOOL (#2),B,84,75,0.8928571428571429,0.5140797581591263,0.8087538548365549,0.9425997871233551,False
fixed,TOOL (#2),C,12,9,0.75,0.5140797581591263,0.46769466506643426,0.9110583316059453,True
fixed,TOOL (#2),A,4,3,0.75,0.5140797581591263,0.30064184258240184,0.9544127391902995,True
fixed,Tool (#2),V,96,84,0.875,0.5140797581591263,0.794115318705986,0.9270279904007575,False
fixed,Tool (#2),W,4,3,0.75,0.5140797581591263,0.30064184258240184,0.9544127391902995,True
fixed,Tool (#3),R,80,71,0.8875,0.5140797581591263,0.7998178190762713,0.9396731305336952,False
fixed,Tool (#3),Q,20,16,0.8,0.5140797581591265,0.5839825677481064,0.919342337420202,False
fixed,Tool (#4),E,40,31,0.775,0.5140797581591263,0.6249690325768998,0.8768390867645927,False
fixed,Tool (#4),C,60,56,0.9333333333333333,0.5140797581591264,0.8407464268680283,0.9737713012754938,False
fixed,OPERATION_ID,XY1,59,52,0.8813559322033898,0.5140797581591263,0.7747635960001831,0.9413241722420971,False
fixed,OPERATION_ID,XY2,41,35,0.8536585365853658,0.5140797581591263,0.7155654195751904,0.9311575185870407,False
fixed,Tool (#5),14,100,87,0.87,0.5140797581591263,0.7901964855992357,0.9224283257275948,False
fixed,Chamber,4.0,14,8,0.5714285714285714,0.5140797581591263,0.3259064457965074,0.7861920109552588,True
fixed,Chamber,3.0,26,24,0.9230769230769231,0.5140797581591264,0.7585844622837095,0.9786449115277238,False
fixed,Chamber,2.0,23,22,0.9565217391304348,0.5140797581591265,0.7900884492974114,0.9922833338565469,False
fixed,Chamber,1.0,25,23,0.92,0.5140797581591263,0.7503389104960468,0.9777795987151524,False
