stage,method,mse,mse_std,rmse,mae,r2,n_features,source,improvement_vs_first_pct,improvement_vs_previous_pct
缺失值基线,operation_tool_mean,0.013538996125504,0.0043920977073933,0.1153125276792744,0.0832558835074928,0.6918326271783005,2689.8,missing_strategy_cv_summary.csv,0.0,
特征筛选,extra_trees Top300,0.0121551955664202,0.0039681986826368,0.1092437371570643,0.0794366860093423,0.7231368680347642,300.0,02_feature_engineering_summary.csv,10.220850543542701,10.220850543542701
模型调优,XGB config 10,0.0119049033309074,0.0049462870198291,0.1091095932120888,0.0790126029859211,0.7294851126442539,497.8,model_grid_results.csv,12.069527012555888,2.0591378735546946
模型融合,Weighted,0.0118620003269996,,0.1089128106652271,0.078653230561305,0.7304599967694557,,ensemble_results.csv,12.3864116878309,0.3603809515732516
残差校正,alpha=0.30,0.0117863453924957,0.0048573566177993,0.1085649362938868,0.0777665574825501,0.7321791023779907,,residual_correction_experiment/experiment_summary.csv,12.945204480166415,0.6377923825520355
