ensemble,weights,mse,rmse,mae,r2
Weighted,"XGB=0.90, RF=0.00, ET=0.10",0.011862000326999618,0.10891281066522715,0.07865323056130509,0.7304599967694557
XGB,XGB=1.00,0.011904903330907499,0.10910959321208882,0.07901260298592112,0.7294851126442539
EqualWeight,"XGB=0.33, RF=0.33, ET=0.33",0.013337138828766549,0.1154865309409134,0.0832272505013403,0.6969404532210759
RF,RF=1.00,0.015700204975517888,0.1253004588001093,0.09177068917593513,0.6432445470272803
ET,ET=1.00,0.01580855322693581,0.1257320692064511,0.09102234115054714,0.6407825518129708
