config_id,model,params,mse,rmse,mae,r2,mse_std,features_mean
10,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",0.011904903330907499,0.10910959321208882,0.07901260298592112,0.7294851126442539,0.0049462870198291285,497.8
2,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",0.011995394984487397,0.10952349056018712,0.07997369602896552,0.7274288725560838,0.005098128090837272,497.8
14,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",0.011997274976090426,0.10953207281929081,0.07861084618623534,0.7273861535433723,0.004857687868276268,497.8
13,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",0.012073940081299455,0.10988148197626138,0.07917123398342492,0.7256440938455087,0.004892570139683021,497.8
8,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",0.012075609278816145,0.10988907715881567,0.07882764138087699,0.7256061647027301,0.005300427628793095,497.8
16,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",0.012079727159380877,0.10990781209441336,0.0787936782908136,0.7255125941825713,0.00487807120603062,497.8
9,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",0.0120949575519024,0.10997707739298404,0.07997947269973908,0.7251665142688734,0.00496886085085078,497.8
6,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",0.012096092528923408,0.10998223733368678,0.07908985336504605,0.725140724208051,0.005207807621424184,497.8
12,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",0.012100332092691006,0.1100015095018746,0.07970614417797726,0.7250443886828348,0.0048196279273213715,497.8
4,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",0.01210073215255369,0.11000332791581212,0.08035901971336049,0.7250352981303388,0.0051634229679707695,497.8
15,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",0.012157517873650108,0.11026113491910969,0.07931040596465763,0.7237449572918768,0.004911055238617346,497.8
11,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",0.012235566773869605,0.11061449621939072,0.0805412028690941,0.7219714536468449,0.004834293675462736,497.8
