Tool,n,mse,rmse,mae,max_error,mean_y,std_y
O,86,0.02746532829355821,0.16572666741824685,0.08426165400757943,1.2782871480796274,2.9104048844017716,0.234102466180742
J,142,0.01179292005123695,0.10859521191671828,0.08268372485557886,0.4152618918884574,2.949783267861515,0.19565349026143447
L,178,0.010265002738668013,0.10131634980923865,0.07810742239569383,0.3910536828089821,2.8014289389269056,0.1725439824331681
M,128,0.00971156036663885,0.09854724941183722,0.07903949353092317,0.25360041384584253,2.7898901206955533,0.21902766065780402
N,266,0.008957658521298357,0.09464490752966245,0.0748677327688285,0.2862467439355987,2.787342432890113,0.19778913280740207
