feature,mean_importance,std_importance,min_importance,max_importance,selected_folds,stability,importance_cv
311X223,0.012836914347525912,0.0012346928565371033,0.011522708673716893,0.014263424067859827,5,1.0,0.09618299406031991
311X191,0.008264101105868135,0.0012010690629699705,0.006562694556161895,0.00951408575541418,5,1.0,0.14533571739239554
311X32,0.008103554932645259,0.0009936858243533402,0.006709147798029078,0.009331047303680033,5,1.0,0.12262344520275202
311X187,0.006792301528696337,0.0005650156298024979,0.005919026584228199,0.007390902883911252,5,1.0,0.08318470953213969
311X25,0.0062991846883842465,0.0007341411939820972,0.005668135992759446,0.007480996793889553,5,1.0,0.11654543090621151
311X129,0.0059972204031705665,0.0012387596948654472,0.0049519704672859625,0.007934185280970634,5,1.0,0.20655563934318522
311X154,0.005622016501508962,0.001483462819053585,0.003457171286246867,0.0070533088705268835,5,1.0,0.2638666781557033
311X26,0.005444234257233163,0.0005101773593701969,0.004906642822375123,0.006069843768053796,5,1.0,0.09370966331925742
311X205,0.005338337650222282,0.0010125745504178656,0.004380654836651956,0.006843715935140591,5,1.0,0.18967974987232653
311X193,0.005268493587803174,0.0007451843296181583,0.004118991301086538,0.006145801511220419,5,1.0,0.14144163166523643
311X88,0.005168284547325822,0.0009528945619065742,0.004284511917183115,0.006580519845620804,5,1.0,0.18437347111920302
311X190,0.004603824438082467,0.0010196599923153816,0.0034638341002900946,0.005946782529989918,5,1.0,0.22148107639799522
311X203,0.004179963987544029,0.0006919368473790147,0.0033369851887703784,0.005236498093413738,5,1.0,0.1655365570792946
311X1,0.00416802050030064,0.0007652386231720045,0.003262414421775072,0.005132907998430508,5,1.0,0.18359761496691535
311X196,0.004114158138810406,0.00044428827239734387,0.0036633482644816955,0.004674239711364286,5,1.0,0.10799008139677833
311X207,0.003933195629737296,0.00014699687988442616,0.0036999224357888434,0.004073036035139267,5,1.0,0.03737339651647861
311X87,0.0038401170919802274,0.00028881336775049603,0.003507794674766648,0.00418781791117083,5,1.0,0.07520952115716725
311X188,0.003836126084938697,0.0004286451820419363,0.0033020097907082505,0.004352979804296848,5,1.0,0.11173907542119986
311X30,0.0038312344476398074,0.000818474754119406,0.00247169292460963,0.004499301879120268,5,1.0,0.21363212434310486
311X66,0.0038277279006081293,0.0005809104244716037,0.0032306502014920425,0.004562646357408502,5,1.0,0.15176377198273366
311X63,0.003794239683946904,0.00048704929246849206,0.003315602107878997,0.0043812497420263295,5,1.0,0.12836545208274258
311X184,0.0037219702927399094,0.0002984621854283532,0.00337104093168874,0.004070126256444096,5,1.0,0.08018929810652854
311X183,0.003699358722524376,0.0008891996192307793,0.0030148805469618484,0.005260482196885214,5,1.0,0.24036588113943153
311X33,0.003509357592560393,0.00039037016795731246,0.0031104244872566006,0.004049599519874198,5,1.0,0.11123693084843636
311X83,0.00324135048501824,0.0002644101153692813,0.0029838464365739563,0.0036238047497748104,5,1.0,0.08157405887139642
311X197,0.003171635318096673,0.0009293002337685823,0.0021393500703057594,0.0041818076358893525,5,1.0,0.29300349512858254
311X68,0.003001695908336663,0.0009771102593493812,0.002117978049692811,0.004386716224545599,5,1.0,0.32551940265171975
311X61,0.0029869583780100404,0.0007401053640202123,0.0018780601801986045,0.0039017731762722887,5,1.0,0.2477789343236525
311X86,0.002914533817786128,0.0009751031416885545,0.002101124858203506,0.004110569876799474,5,1.0,0.3345657324006192
311X9,0.002837867720335959,0.0004243890463566942,0.002335619062019652,0.0035018334293449456,5,1.0,0.14954504156976992
311X192,0.00281025775636068,0.000688855568430156,0.0019713856178224746,0.0036931425045046693,5,1.0,0.2451218457189176
311X82,0.0027940864360722056,0.0004433027121795669,0.002389523498701173,0.0034417230232426724,5,1.0,0.15865747970348526
311X194,0.0027916928396260086,0.001068256583518464,0.001790987672744604,0.0044140631350018545,5,1.0,0.38265548701228835
311X29,0.002775387106113006,0.00044158841450079206,0.0022074896916730196,0.0034157783424077757,5,1.0,0.15910876481664504
311X7,0.0027317996568054855,0.0004460451207885302,0.0022030779942421534,0.0033745263199617933,5,1.0,0.16327885520962693
311X104,0.002685673683869609,0.00025475178964405815,0.002359643450016659,0.0029476752517322703,5,1.0,0.09485582372842384
311X127,0.002685617072689131,0.0007068082093813829,0.0017716019581029167,0.0033554399036464645,5,1.0,0.26318279560625035
311X65,0.0026564093803288875,0.0005843284901716385,0.0021483093208320256,0.0036259086778314287,5,1.0,0.21996929173594623
311X90,0.002621545012079787,0.00025482288815043214,0.0022686028491471946,0.0028874691005149906,5,1.0,0.09720332356645923
311X189,0.002556029935595413,0.0005690776653767269,0.002094566716382452,0.003455268268161129,5,1.0,0.22264123640692893
311X84,0.002541080100042283,0.00023296841784430046,0.0021925161980762046,0.0028311186993080022,5,1.0,0.09168086348350178
311X117,0.0025325326352688637,0.0008568400570200265,0.0013805397222559697,0.0035154131667774215,5,1.0,0.3383332734785183
311X133,0.0024162622198965287,0.00046226339939750365,0.0018811620363082778,0.0030786252519012956,5,1.0,0.19131342426319345
311X89,0.0024133377689067757,0.0006876331150218015,0.0016668352094658242,0.0035092929712193946,5,1.0,0.28493032496166665
311X135,0.0024038799428907137,0.0003089909546768356,0.002023653188283997,0.002847947799860707,5,1.0,0.12853843032473966
311X204,0.002356511310936017,0.000647283602606757,0.001302802804427224,0.0028989634006507097,5,1.0,0.2746787589468324
311X131,0.002222937254335985,0.0005393840758802966,0.0015195328699543224,0.002805940315468258,5,1.0,0.24264475957904247
210X193,0.0021616258729509957,0.0005550383607804542,0.001446828971579925,0.0028547763012659604,5,1.0,0.25676892910518384
311X80,0.0020576738641293855,0.0004693411709171831,0.0015707683787395412,0.002726283101774465,5,1.0,0.22809308067275819
311X62,0.0019969644129338724,0.0006326324247878177,0.001346822122238748,0.002712066658226909,5,1.0,0.31679704474131243
311X6,0.001977720949095919,0.0005377588597830749,0.0012093396810796764,0.002706720973744611,5,1.0,0.2719083598507634
311X164,0.0019546906620466894,0.0004774265812175985,0.0014203263107599442,0.0026661449366040166,5,1.0,0.24424661673753273
311X28,0.0019087760448305389,0.0005297371214205711,0.0014609145374697714,0.002825761069429094,5,1.0,0.2775271214125459
750X710,0.0018814205487818207,0.0004060223101746946,0.0015855061539874532,0.0025826732128158823,5,1.0,0.21580624822120661
311X155,0.001847036134873675,0.0008918439809681842,0.0008352417506853754,0.003238498518389974,5,1.0,0.4828513983275855
311X106,0.0017999937822000937,0.00023391826532954044,0.0015311434049173744,0.002119560272796736,5,1.0,0.12995504068556954
311X81,0.001783735995405225,0.0004579322009271089,0.0012579680734693978,0.00247840485665307,5,1.0,0.25672644486066476
311X152,0.0017791156917835072,0.0003249242717180313,0.0014580471841787563,0.0022788372731113236,5,1.0,0.1826324578193521
300X10,0.0017787427524866926,0.000334312438622827,0.0012566591806882587,0.0021376936893938514,5,1.0,0.1879487283743012
750X1291,0.0017459782979927705,0.00036073865637647974,0.0012291711338732185,0.0021017483721848082,5,1.0,0.20661119132155573
311X59,0.0017351822772910478,0.00048571696091574234,0.0012979139358873064,0.0025198373073734197,5,1.0,0.27992273030480513
311X85,0.001702903780459996,0.0006366376031367276,0.0011673577127638611,0.002663559880711722,5,1.0,0.3738541249763989
311X103,0.0016807517570976674,0.0003964518851772521,0.0011415463749194783,0.0021211053039260816,5,1.0,0.23587771559196224
311X171,0.0016744416208835187,0.00039103211025143833,0.0010656123843871366,0.00213675289931521,5,1.0,0.23352985564918083
311X73,0.001638972125818506,0.0003319445083681426,0.0012816502556776042,0.002033211055119995,5,1.0,0.20253212543186888
311X170,0.0016258685384093463,0.0005080251104256559,0.0009371915710973897,0.0022045877787024762,5,1.0,0.31246382970803643
310X64,0.0016047573984897384,0.0001725507967612618,0.0014334715993837722,0.0017954421664536679,5,1.0,0.10752453723916615
ERROR:#N/A_4,0.0016032936544544897,0.0003499095625931659,0.0011884744951724561,0.002036629953730237,5,1.0,0.2182442133434228
420X189,0.0015383076056439237,0.0004538669368045863,0.0010307522571179107,0.002104281478539659,5,1.0,0.2950430296543701
311X206,0.001538193115278073,0.0004075010778898807,0.0010848268379772192,0.0020894986570230865,5,1.0,0.2649219227270375
210X3,0.0014938163778896803,0.0004665910301004848,0.0008234137685372932,0.0019715833710476803,5,1.0,0.31234831582666894
311X137,0.0014675562997632805,9.055972026720082e-05,0.001352225206064109,0.0015667002711756083,5,1.0,0.06170783377789352
311X11,0.001465524749247263,0.00025646410972534744,0.00120338002391513,0.0018055817007389544,5,1.0,0.17499814293963775
311X107,0.001458068228470695,0.0006038707514787435,0.0008271839768889577,0.002262128465516134,5,1.0,0.4141580889516806
210X134,0.001444002070331313,0.00011521166346243203,0.0012417276556416636,0.0015320076566849492,5,1.0,0.0797863560931124
311X74,0.0014395108321910229,0.0003561684531459132,0.0011137773650498472,0.0020174699158677454,5,1.0,0.24742325304796764
311X69,0.0014256356038770865,0.0005429292099885839,0.0007993630930327385,0.0022174411559609426,5,1.0,0.38083308815466443
311X60,0.0014246171912447125,0.00014561933459140484,0.0012347272683691556,0.0015886283472875539,5,1.0,0.10221646585772158
311X12,0.0014190672263063673,0.00015646277926697374,0.0011989395085094086,0.0015983490031965125,5,1.0,0.11025748199679511
300X20,0.0013849358575156305,0.0002941062637262906,0.001074553907804748,0.0017810480149829566,5,1.0,0.2123609277049933
311X27,0.0013727401983699543,0.0005594399360619931,0.0007784180925753409,0.002028414049654097,5,1.0,0.40753518860943894
210X204,0.0013724618397431222,0.000409977839580029,0.0009138027486692537,0.0019731084689523677,5,1.0,0.2987171135906013
311X20,0.0013620631455602823,0.0002812602129174365,0.0010092696351049876,0.001781693995390744,5,1.0,0.20649572204322791
220X83,0.0013101471570237898,0.00026247631058270694,0.0009173647195526119,0.0016262755179711017,5,1.0,0.20034109067459493
311X70,0.001306520087868265,0.00027040677394204554,0.0009009874050277433,0.001559206801794929,5,1.0,0.20696717658300803
220X79,0.0013046905857726152,0.0003266314774908239,0.0008998746897937145,0.0017011194769886362,5,1.0,0.2503516778631822
310X84,0.0012673663421872365,0.0003230801623130351,0.000854070340606435,0.0017601474894130475,5,1.0,0.2549224729296005
310X56,0.0012663771446053747,0.00039302639084928776,0.0008186595774038569,0.0016895183675002844,5,1.0,0.3103549303721892
311X56,0.0012628663990880422,0.0003602018033427625,0.0007493656139555262,0.0016410737166525024,5,1.0,0.2852255815165014
311X109,0.0012586170549131405,0.0003914681377602374,0.0008386396394420555,0.0017768797328657916,5,1.0,0.3110303772867777
210X11,0.0012408479304678055,0.00020512471577344092,0.0010525015976457861,0.0015712419285484763,5,1.0,0.16531011622898692
311X10,0.0012267540304072798,0.0004184870904458746,0.0008400057286097777,0.0019107681243723388,5,1.0,0.34113365820025393
220X70,0.0012075683193484565,0.00031204365105201186,0.0009015453160252975,0.0016806749680963163,5,1.0,0.25840662246088764
220X87,0.0012069520097629676,0.00017633951628440788,0.0009794738375320943,0.0014489951413433268,5,1.0,0.14610317122131136
