Tool,n,mse,rmse,mae,max_error,mean_missing_rate,mean_zero_rate,mean_y,std_y
O,86,0.025835209629695297,0.16073334946331236,0.07963000331891863,1.220566867639909,0.009131276132554683,0.038378140225992605,2.9104048844017716,0.234102466180742
J,142,0.013416881647391191,0.11583126368727568,0.0858010354508708,0.4294480517024435,0.007638699956051315,0.0381411799175439,2.949783267861515,0.19565349026143447
L,178,0.012546763636831966,0.11201233698495879,0.0820732228982096,0.48336927868370516,0.009530944788553684,0.040258694091523786,2.8014289389269056,0.1725439824331681
M,128,0.011760258548406623,0.10844472577496161,0.08638654806397425,0.3231596285909015,0.008445161589895988,0.045824433506686475,2.7898901206955533,0.21902766065780402
N,266,0.008906579134590266,0.0943746742224325,0.07492463458663172,0.2671387099497622,0.00863460657587505,0.040776625814163935,2.787342432890113,0.19778913280740207
