fold,mse,rmse,mae,r2,n_features,time_sec
1,0.011658478284088478,0.107974433474265,0.07898876894618546,0.7037948622885837,300,6.479289900000367
2,0.009498519236521301,0.09746034699569513,0.07498893122977435,0.7878465203615785,300,6.351126899999144
3,0.01055900892046883,0.10275703830136809,0.08019198371338629,0.7624571879438171,300,6.344512100000429
4,0.011273206984625524,0.10617535959263583,0.08140840873992967,0.7310563564652068,300,6.28731340000013
5,0.02097836340827395,0.14483909488903177,0.08834935704300366,0.5581799339206283,300,6.31905800000095
